,activity_id,nest_id,video_id,behavior,recess_cause,datetime_begin_raw,datetime_end_raw,datetime_begin_corrected,datetime_end_corrected,has_negative_duration,begin_dt,end_dt,duration_min,duration_hr,total_mins,init_median,year,species,fate,fate_day
164,27558,23kwm086,23-KWM086_1,I-Incubating,NotApplicable,2023-07-11T09:49:59-08:00,2023-07-12T16:47:23-08:00,2023-07-11T09:49:54-08:00,2023-07-12T16:47:28-08:00,FALSE,7/11/2023 9:49,7/12/2023 16:47,1857.566667,30.95944444,15683.11667,164,2023,SPEI,Hatched,194
165,27958,24akm052,24-AKM052_1,I-Incubating,NotApplicable,2024-07-12T03:38:00-08:00,2024-07-13T10:34:57-08:00,2024-07-12T03:37:55-08:00,2024-07-13T10:35:02-08:00,FALSE,7/12/2024 3:37,7/13/2024 10:35,1857.116667,30.95194444,16032.36667,166,2024,SPEI,Hatched,196
166,22485,12jjn009,12-JJN009_3,I-Incubating,NotApplicable,2012-07-03T04:04:23-08:00,2012-07-04T10:34:53-08:00,2012-07-03T03:51:22-08:00,2012-07-04T10:22:07-08:00,FALSE,7/3/2012 3:51,7/4/2012 10:22,1830.75,30.5125,27402.53333,167,2012,SPEI,Hatched,192
167,27080,22jam031,22-JAM031_1,I-Incubating,NotApplicable,2022-07-01T22:50:59-08:00,2022-07-03T05:15:05-08:00,2022-07-01T22:50:54-08:00,2022-07-03T05:15:10-08:00,FALSE,7/1/2022 22:50,7/3/2022 5:15,1824.266667,30.40444444,28501.5,177,2022,KIEI,Hatched,202
168,22481,12jjn009,12-JJN009_2,I-Incubating,NotApplicable,2012-06-26T08:52:56-08:00,2012-06-27T15:12:41-08:00,2012-06-27T04:27:19-08:00,2012-06-28T10:47:19-08:00,FALSE,6/27/2012 4:27,6/28/2012 10:47,1820,30.33333333,27402.53333,167,2012,SPEI,Hatched,192
169,25554,14smh016,14-SMH016_2,I-Incubating,NotApplicable,2014-07-11T22:44:03-08:00,2014-07-13T05:00:03-08:00,2014-07-12T00:41:52-08:00,2014-07-13T06:58:07-08:00,FALSE,7/12/2014 0:41,7/13/2014 6:58,1816.25,30.27083333,12564.25,167.875,2014,KIEI,Hatched,195
170,22466,12keo001,12-KEO001_2,I-Incubating,NotApplicable,2012-06-27T10:30:15-08:00,2012-06-28T16:39:15-08:00,2012-06-28T05:39:07-08:00,2012-06-29T11:48:22-08:00,FALSE,6/28/2012 5:39,6/29/2012 11:48,1809.25,30.15416667,26854.13333,166.5,2012,SPEI,Hatched,192
171,25239,12mtw030,12-MTW030_2,I-Incubating,NotApplicable,2012-07-04T19:54:55-08:00,2012-07-06T01:56:55-08:00,2012-07-04T21:16:37-08:00,2012-07-06T03:18:52-08:00,FALSE,7/4/2012 21:16,7/6/2012 3:18,1802.25,30.0375,18740.73333,164,2012,KIEI,Hatched,196
172,27074,22esw041,22-ESW041_1,I-Incubating,NotApplicable,2022-07-08T05:02:44-08:00,2022-07-09T10:52:01-08:00,2022-07-08T05:02:39-08:00,2022-07-09T10:52:06-08:00,FALSE,7/8/2022 5:02,7/9/2022 10:52,1789.45,29.82416667,23844.31667,172.5,2022,KIEI,Destroyed,199
173,25969,19cht010,19-CHT010_2,I-Incubating,NotApplicable,2019-06-30T23:37:34-08:00,2019-07-02T05:11:51-08:00,2019-06-30T23:37:29-08:00,2019-07-02T05:11:56-08:00,FALSE,6/30/2019 23:37,7/2/2019 5:11,1774.45,29.57416667,20017.1,161.8333333,2019,KIEI,Hatched,190
175,25292,12keo001,12-KEO001_3,I-Incubating,NotApplicable,2012-07-01T01:48:00-08:00,2012-07-02T07:08:30-08:00,2012-07-01T01:50:15-08:00,2012-07-02T07:10:53-08:00,FALSE,7/1/2012 1:50,7/2/2012 7:10,1760.633333,29.34388889,26854.13333,166.5,2012,SPEI,Hatched,192
176,25528,14mwm015,14-MWM015_1,I-Incubating,NotApplicable,2014-07-08T02:03:00-08:00,2014-07-09T07:12:15-08:00,2014-07-08T05:03:37-08:00,2014-07-09T10:13:00-08:00,FALSE,7/8/2014 5:03,7/9/2014 10:13,1749.383333,29.15638889,12819.11667,168,2014,SPEI,Hatched,193
177,25375,13emw016,13-EMW016_2,I-Incubating,NotApplicable,2013-07-11T08:42:06-08:00,2013-07-12T13:37:36-08:00,2013-07-11T07:34:55-08:00,2013-07-12T12:30:32-08:00,FALSE,7/11/2013 7:34,7/12/2013 12:30,1735.616667,28.92694444,10892.33333,170,2013,KIEI,Hatched,195
178,21468,11des015,11-DES015_2,I-Incubating,NotApplicable,2011-07-03T05:47:20-08:00,2011-07-04T10:32:20-08:00,2011-07-03T06:14:53-08:00,2011-07-04T11:00:08-08:00,FALSE,7/3/2011 6:14,7/4/2011 11:00,1725.25,28.75416667,23068.58333,167,2011,KIEI,Hatched,194
179,27772,23drs087,23-DRS087_1,I-Incubating,NotApplicable,2023-07-04T04:01:46-08:00,2023-07-05T08:39:54-08:00,2023-07-04T04:01:46-08:00,2023-07-05T08:39:59-08:00,FALSE,7/4/2023 4:01,7/5/2023 8:39,1718.216667,28.63694444,11932.53333,164,2023,SPEI,Hatched,193
180,23174,16map028,16-MAP028_2,I-Incubating,NotApplicable,2016-07-05T06:13:15-08:00,2016-07-06T10:15:30-08:00,2016-07-05T06:13:07-08:00,2016-07-06T10:15:37-08:00,FALSE,7/5/2016 6:13,7/6/2016 10:15,1682.5,28.04166667,18687.5,172.2083333,2016,SPEI,Hatched,194
181,25301,12keo001,12-KEO001_5,I-Incubating,NotApplicable,2012-07-09T02:01:00-08:00,2012-07-10T05:59:00-08:00,2012-07-09T02:00:00-08:00,2012-07-10T05:58:07-08:00,FALSE,7/9/2012 2:00,7/10/2012 5:58,1678.116667,27.96861111,26854.13333,166.5,2012,SPEI,Hatched,192
182,22719,15ery012,15-ERY012_1,I-Incubating,NotApplicable,2015-06-27T05:43:15-08:00,2015-06-28T09:40:45-08:00,2015-06-27T05:43:07-08:00,2015-06-28T09:40:52-08:00,FALSE,6/27/2015 5:43,6/28/2015 9:40,1677.75,27.9625,16776.75,166,2015,SPEI,Hatched,191
183,21466,11des015,11-DES015_1,I-Incubating,NotApplicable,2011-06-30T05:42:41-08:00,2011-07-01T09:35:41-08:00,2011-06-30T06:10:14-08:00,2011-07-01T10:03:29-08:00,FALSE,6/30/2011 6:10,7/1/2011 10:03,1673.25,27.8875,23068.58333,167,2011,KIEI,Hatched,194
184,22628,13deg030,13-DEG030_1,I-Incubating,NotApplicable,2000-01-02T20:47:10-09:00,2000-01-04T00:33:10-09:00,2013-07-04T08:07:20-08:00,2013-07-05T11:53:35-08:00,FALSE,7/4/2013 8:07,7/5/2013 11:53,1666.25,27.77083333,13180.86667,173,2013,SPEI,Destroyed,4
185,27230,22esw041,22-ESW041_2,I-Incubating,NotApplicable,2022-07-10T08:05:48-08:00,2022-07-11T11:49:26-08:00,2022-07-10T08:05:48-08:00,2022-07-11T11:49:31-08:00,FALSE,7/10/2022 8:05,7/11/2022 11:49,1663.716667,27.72861111,23844.31667,172.5,2022,KIEI,Destroyed,199
186,25059,14eeu038,14-EEU038_2,I-Incubating,NotApplicable,1999-12-31T15:30:56-09:00,2000-01-01T19:10:26-09:00,2014-07-11T04:53:07-08:00,2014-07-12T08:32:52-08:00,FALSE,7/11/2014 4:53,7/12/2014 8:32,1659.75,27.6625,18581,169.875,2014,KIEI,Hatched,2
187,27439,23jls040,23-JLS040_1,I-Incubating,NotApplicable,2023-07-10T03:48:28-08:00,2023-07-11T07:26:55-08:00,2023-07-10T03:48:23-08:00,2023-07-11T07:27:00-08:00,FALSE,7/10/2023 3:48,7/11/2023 7:27,1658.616667,27.64361111,15435.05,165,2023,KIEI,Destroyed,193
188,27453,23jan134,23-JAN134_1,I-Incubating,NotApplicable,2023-07-06T05:10:27-08:00,2023-07-07T08:40:04-08:00,2023-07-06T05:10:17-08:00,2023-07-07T08:40:09-08:00,FALSE,7/6/2023 5:10,7/7/2023 8:40,1649.866667,27.49777778,13838.88333,165,NA,NA,NA,NA
189,25061,14eeu038,14-EEU038_2,I-Incubating,NotApplicable,2000-01-01T19:41:11-09:00,2000-01-02T23:08:11-09:00,2014-07-12T09:03:22-08:00,2014-07-13T12:30:37-08:00,FALSE,7/12/2014 9:03,7/13/2014 12:30,1647.25,27.45416667,18581,169.875,2014,KIEI,Hatched,2
190,22634,13deg030,13-DEG030_2,I-Incubating,NotApplicable,2000-01-01T04:33:34-09:00,2000-01-02T08:00:04-09:00,2013-07-08T03:48:35-08:00,2013-07-09T07:15:20-08:00,FALSE,7/8/2013 3:48,7/9/2013 7:15,1646.75,27.44583333,13180.86667,173,2013,SPEI,Destroyed,4
191,25294,12keo001,12-KEO001_3,I-Incubating,NotApplicable,2012-07-03T00:53:15-08:00,2012-07-04T04:12:45-08:00,2012-07-03T00:55:23-08:00,2012-07-04T04:15:08-08:00,FALSE,7/3/2012 0:55,7/4/2012 4:15,1639.75,27.32916667,26854.13333,166.5,2012,SPEI,Hatched,192
192,25170,14mwm054,14-MWM054_2,I-Incubating,NotApplicable,2014-07-08T05:57:06-08:00,2014-07-09T09:15:36-08:00,2014-07-08T09:42:22-08:00,2014-07-09T13:01:07-08:00,FALSE,7/8/2014 9:42,7/9/2014 13:01,1638.75,27.3125,12692.25,166.5833333,2014,KIEI,Hatched,191
193,28080,24mle091,24-MLE091_1,I-Incubating,NotApplicable,2024-07-04T03:46:31-08:00,2024-07-05T07:03:48-08:00,2024-07-04T03:46:26-08:00,2024-07-05T07:03:53-08:00,FALSE,7/4/2024 3:46,7/5/2024 7:03,1637.45,27.29083333,20237.86667,167.75,2024,SPEI,Hatched,197
