"","activity_id","nest_id","video_id","behavior","recess_cause","datetime_begin_raw","datetime_end_raw","datetime_begin_corrected","datetime_end_corrected","has_negative_duration","begin_dt","end_dt","duration_min","duration_hr"
"70",21809,"11mcz010",NA,"I-Incubating","NotApplicable","2011-07-03T14:07:56-08:00","2011-07-05T14:32:56-08:00","2011-07-03T14:07:48-08:00","2011-07-05T14:33:03-08:00",FALSE,2011-07-03 14:07:48,2011-07-05 14:33:03,2905.25,48.4208333333333
"71",27265,"22jam031","22-JAM031_2","I-Incubating","NotApplicable","2022-07-08T04:57:59-08:00","2022-07-10T05:18:13-08:00","2022-07-08T04:57:54-08:00","2022-07-10T05:18:18-08:00",FALSE,2022-07-08 04:57:54,2022-07-10 05:18:18,2900.4,48.34
"72",22721,"15ery012","15-ERY012_2","I-Incubating","NotApplicable","2015-07-01T09:07:45-08:00","2015-07-03T09:26:45-08:00","2015-07-01T09:07:37-08:00","2015-07-03T09:26:52-08:00",FALSE,2015-07-01 09:07:37,2015-07-03 09:26:52,2899.25,48.3208333333333
"73",22518,"13deg023","13-DEG023_1","I-Incubating","NotApplicable","2013-07-04T02:49:30-08:00","2013-07-06T03:05:15-08:00","2013-07-04T02:31:34-08:00","2013-07-06T02:47:34-08:00",FALSE,2013-07-04 02:31:34,2013-07-06 02:47:34,2896,48.2666666666667
"74",27575,"23drs009","23-DRS009_1","I-Incubating","NotApplicable","2013-01-12T19:52:55-09:00","2013-01-14T20:01:39-09:00","2023-06-17T23:44:56-08:00","2023-06-19T23:53:50-08:00",FALSE,2023-06-17 23:44:56,2023-06-19 23:53:50,2888.9,48.1483333333333
"75",27996,"24jan015","24-JAN015_1","I-Incubating","NotApplicable","2024-06-22T08:10:48-08:00","2024-06-24T08:18:21-08:00","2024-06-22T08:10:43-08:00","2024-06-24T08:18:26-08:00",FALSE,2024-06-22 08:10:43,2024-06-24 08:18:26,2887.71666666667,48.1286111111111
"76",28039,"24jan109","24-JAN109_1","I-Incubating","NotApplicable","2024-07-04T05:50:52-08:00","2024-07-06T05:55:56-08:00","2024-07-04T05:50:47-08:00","2024-07-06T05:56:01-08:00",FALSE,2024-07-04 05:50:47,2024-07-06 05:56:01,2885.23333333333,48.0872222222222
"77",26303,"19nrg046","19-NRG046_2","I-Incubating","NotApplicable","2019-07-03T07:50:02-08:00","2019-07-05T07:39:56-08:00","2019-07-03T07:54:06-08:00","2019-07-05T07:44:10-08:00",FALSE,2019-07-03 07:54:06,2019-07-05 07:44:10,2870.06666666667,47.8344444444444
"78",27509,"23hec144","23-HEC144_1","I-Incubating","NotApplicable","2023-07-05T07:52:47-08:00","2023-07-07T07:19:11-08:00","2023-07-05T07:52:42-08:00","2023-07-07T07:19:16-08:00",FALSE,2023-07-05 07:52:42,2023-07-07 07:19:16,2846.56666666667,47.4427777777778
"79",27998,"24jan015","24-JAN015_1","I-Incubating","NotApplicable","2024-06-24T08:37:21-08:00","2024-06-26T07:55:05-08:00","2024-06-24T08:37:16-08:00","2024-06-26T07:55:10-08:00",FALSE,2024-06-24 08:37:16,2024-06-26 07:55:10,2837.9,47.2983333333333
